SETORECONOMICO;SUBSETOR;SUBDIVISAO;DESCRICAO;CODIGO;SEGMENTO
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;ANDEAVOR;ANDV;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;CHESAPEAKE;CHKE;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;CHEVRON ;CHVX;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;COPHILLIPS;COPH;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;COSAN ;CSAN;NM
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;DOMMO;DMMO;
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;ENAUTA PART;ENAT;NM
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;EXXON MOBIL ;EXXO;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PET MANGUINH;RPMG;
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETROBRAS ;PETR;N2
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETROBRAS BR;BRDT;NM
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETRORIO;PRIO;NM
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;SANCHEZ ENER;SANC;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;ULTRAPAR ;UGPA;NM
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;VALERO ENER;VLOE;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;HALLIBURTON;HALI;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;LUPATECH ;LUPA;NM
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;OSX BRASIL ;OSXB;NM
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;SCHLUMBERGER;SLBG;DRN
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;TRANSOCEAN;RIGG;DRN
Materiais Basicos;Mineracao;Minerais Metalicos;BRADESPAR ;BRAP;N1
Materiais Basicos;Mineracao;Minerais Metalicos;FREEPORT ;FCXO;DRN
Materiais Basicos;Mineracao;Minerais Metalicos;LITEL ;LTEL;MB
Materiais Basicos;Mineracao;Minerais Metalicos;MMX MINER ;MMXM;NM
Materiais Basicos;Mineracao;Minerais Metalicos;VALE ;VALE;NM
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;ARCELOR ;ARMT;DRN
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;FERBASA ;FESA;N1
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;GERDAU ;GGBR;N1
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;GERDAU MET ;GOAU;N1
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;SID NACIONAL;CSNA;
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;US STEEL;USSX;DRN
